time=2025-08-28 17:38:58,789 level=INFO message=Loaded config.json successfully
2025-08-28 17:39:02,073 INFO     Health Rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | Node CPU' already exists; treating as success
2025-08-28 17:39:02,073 INFO     Creating health rule 7/14 for AppD ID: 154
2025-08-28 17:39:02,178 INFO     Health Rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | Node EPM' already exists; treating as success
2025-08-28 17:39:02,178 INFO     Creating health rule 8/14 for AppD ID: 154
2025-08-28 17:39:02,269 INFO     Health Rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | Disk Space' already exists; treating as success
2025-08-28 17:39:02,269 INFO     Creating health rule 9/14 for AppD ID: 154
2025-08-28 17:39:02,408 INFO     Health Rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | Tier ART' already exists; treating as success
2025-08-28 17:39:02,408 INFO     Creating health rule 10/14 for AppD ID: 154
2025-08-28 17:39:02,524 INFO     Health Rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | App Availability' already exists; treating as success
2025-08-28 17:39:02,524 INFO     Creating health rule 11/14 for AppD ID: 154
2025-08-28 17:39:02,613 INFO     Health Rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | Tier CPM' already exists; treating as success
2025-08-28 17:39:02,613 INFO     Creating health rule 12/14 for AppD ID: 154
2025-08-28 17:39:02,698 INFO     Health Rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | Tier CPU' already exists; treating as success
2025-08-28 17:39:02,698 INFO     Creating health rule 13/14 for AppD ID: 154
2025-08-28 17:39:02,789 INFO     Health Rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | Tier EPM' already exists; treating as success
2025-08-28 17:39:02,790 INFO     Creating health rule 14/14 for AppD ID: 154
2025-08-28 17:39:02,877 INFO     Health Rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | Tier Memory' already exists; treating as success
time=2025-08-28 17:39:02,877 level=INFO message=Health rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | CLR GC' created or already existed
time=2025-08-28 17:39:02,877 level=INFO message=Health rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | Node Heap' created or already existed
time=2025-08-28 17:39:02,877 level=INFO message=Health rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | Node Thread' created or already existed
time=2025-08-28 17:39:02,877 level=INFO message=Health rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | Node ART' created or already existed
time=2025-08-28 17:39:02,877 level=INFO message=Health rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | Node CPM' created or already existed
time=2025-08-28 17:39:02,877 level=INFO message=Health rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | Node CPU' created or already existed
time=2025-08-28 17:39:02,877 level=INFO message=Health rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | Node EPM' created or already existed
time=2025-08-28 17:39:02,877 level=INFO message=Health rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | Disk Space' created or already existed
time=2025-08-28 17:39:02,877 level=INFO message=Health rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | Tier ART' created or already existed
time=2025-08-28 17:39:02,877 level=INFO message=Health rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | App Availability' created or already existed
time=2025-08-28 17:39:02,877 level=INFO message=Health rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | Tier CPM' created or already existed
time=2025-08-28 17:39:02,877 level=INFO message=Health rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | Tier CPU' created or already existed
time=2025-08-28 17:39:02,877 level=INFO message=Health rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | Tier EPM' created or already existed
time=2025-08-28 17:39:02,877 level=INFO message=Health rule 'AFFILIATES.ahm_aaview_qa1.NONPROD.Default Web Site | Tier Memory' created or already existed
Onboarding Default Web Site () for ahm_aaview_qa1 
